City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Year
Estimate,"85,599","5,278","3,934","4,385","5,166","6,935","14,759","13,155","14,265","6,391","3,335","4,942","2,012","1,042",2015
Percent,"85,599",6.20%,4.60%,5.10%,6.00%,8.10%,17.20%,15.40%,16.70%,7.50%,3.90%,5.80%,2.40%,1.20%,2015
"Chino Hills city, California",,,,,,,,,,,,,,,2015
Estimate,"78,313","3,180","4,408","5,017","5,542","5,111","9,430","10,531","14,082","6,499","6,052","4,782","2,543","1,136",2015
Percent,"78,313",4.10%,5.60%,6.40%,7.10%,6.50%,12.00%,13.40%,18.00%,8.30%,7.70%,6.10%,3.20%,1.50%,2015
"Chula Vista city, California",,,,,,,,,,,,,,,2015
Estimate,"265,754","17,030","20,325","19,555","19,458","20,361","37,571","39,629","36,064","14,011","11,455","15,937","10,424","3,934",2015
Percent,"265,754",6.40%,7.60%,7.40%,7.30%,7.70%,14.10%,14.90%,13.60%,5.30%,4.30%,6.00%,3.90%,1.50%,2015
"Citrus Heights city city, California",,,,,,,,,,,,,,,2015
Estimate,"87,053","5,621","5,939","4,288","4,818","6,341","13,629","10,107","11,294","5,361","5,023","8,257","4,744","1,631",2015
Percent,"87,053",6.50%,6.80%,4.90%,5.50%,7.30%,15.70%,11.60%,13.00%,6.20%,5.80%,9.50%,5.40%,1.90%,2015
"Clovis city, California",,,,,,,,,,,,,,,2015
Estimate,"104,172","5,251","6,948","8,533","6,746","6,433","14,747","13,249","13,578","7,560","5,777","9,571","4,161","1,618",2015
Percent,"104,172",5.00%,6.70%,8.20%,6.50%,6.20%,14.20%,12.70%,13.00%,7.30%,5.50%,9.20%,4.00%,1.60%,2015
"Compton city, California",,,,,,,,,,,,,,,2015
Estimate,"98,448","8,060","8,797","6,997","7,818","10,014","14,220","11,716","12,857","5,042","4,096","5,219","2,142","1,470",2015
Percent,"98,448",8.20%,8.90%,7.10%,7.90%,10.20%,14.40%,11.90%,13.10%,5.10%,4.20%,5.30%,2.20%,1.50%,2015
"Concord city, California",,,,,,,,,,,,,,,2015
Estimate,"128,668","7,230","8,328","7,441","6,299","6,617","19,406","20,628","17,319","10,741","7,930","9,851","4,741","2,137",2015
Percent,"128,668",5.60%,6.50%,5.80%,4.90%,5.10%,15.10%,16.00%,13.50%,8.30%,6.20%,7.70%,3.70%,1.70%,2015
"Corona city, California",,,,,,,,,,,,,,,2015
Estimate,"164,242","10,563","10,914","11,207","10,961","11,223","22,929","25,600","25,548","10,319","8,159","9,933","4,845","2,041",2015
Percent,"164,242",6.40%,6.60%,6.80%,6.70%,6.80%,14.00%,15.60%,15.60%,6.30%,5.00%,6.00%,2.90%,1.20%,2015
"Costa Mesa city, California",,,,,,,,,,,,,,,2015
Estimate,"113,186","6,262","5,984","5,828","7,027","8,227","23,884","17,397","13,235","7,247","6,664","6,775","3,132","1,524",2015
Percent,"113,186",5.50%,5.30%,5.10%,6.20%,7.30%,21.10%,15.40%,11.70%,6.40%,5.90%,6.00%,2.80%,1.30%,2015
"Daly City city, California",,,,,,,,,,,,,,,2015
Estimate,"106,574","4,854","4,477","4,350","4,761","8,840","18,279","14,927","16,889","6,568","7,212","7,884","5,535","1,998",2015
Percent,"106,574",4.60%,4.20%,4.10%,4.50%,8.30%,17.20%,14.00%,15.80%,6.20%,6.80%,7.40%,5.20%,1.90%,2015
"Davis city, California",,,,,,,,,,,,,,,2015
Estimate,"67,656","2,382","3,370","3,724","5,525","17,343","8,520","5,939","6,618","2,843","2,875","4,944","2,308","1,265",2015
Percent,"67,656",3.50%,5.00%,5.50%,8.20%,25.60%,12.60%,8.80%,9.80%,4.20%,4.20%,7.30%,3.40%,1.90%,2015
"Downey city, California",,,,,,,,,,,,,,,2015
Estimate,"114,211","5,669","5,492","8,458","8,143","10,181","16,222","16,486","15,603","8,570","7,229","6,799","3,367","1,992",2015
Percent,"114,211",5.00%,4.80%,7.40%,7.10%,8.90%,14.20%,14.40%,13.70%,7.50%,6.30%,6.00%,2.90%,1.70%,2015
"East Los Angeles CDP, California",,,,,,,,,,,,,,,2015
Estimate,"119,666","7,674","9,168","9,033","9,352","10,467","17,349","17,581","13,373","7,123","5,391","7,927","3,817","1,411",2015
Percent,"119,666",6.40%,7.70%,7.50%,7.80%,8.70%,14.50%,14.70%,11.20%,6.00%,4.50%,6.60%,3.20%,1.20%,2015
"El Cajon city, California",,,,,,,,,,,,,,,2015
Estimate,"103,688","8,604","7,611","7,054","6,373","8,017","16,736","13,737","14,155","5,191","5,709","4,699","4,032","1,770",2015
Percent,"103,688",8.30%,7.30%,6.80%,6.10%,7.70%,16.10%,13.20%,13.70%,5.00%,5.50%,4.50%,3.90%,1.70%,2015
"Elk Grove city, California",,,,,,,,,,,,,,,2015
Estimate,"166,890","11,123","13,694","12,034","11,360","13,185","19,922","23,792","24,953","11,946","8,378","9,062","5,179","2,262",2015
Percent,"166,890",6.70%,8.20%,7.20%,6.80%,7.90%,11.90%,14.30%,15.00%,7.20%,5.00%,5.40%,3.10%,1.40%,2015
"El Monte city, California",,,,,,,,,,,,,,,2015
Estimate,"116,745","6,525","7,567","6,958","7,855","9,469","17,776","13,747","15,699","8,935","5,881","9,475","4,384","2,474",2015
Percent,"116,745",5.60%,6.50%,6.00%,6.70%,8.10%,15.20%,11.80%,13.40%,7.70%,5.00%,8.10%,3.80%,2.10%,2015
"Escondido city, California",,,,,,,,,,,,,,,2015
Estimate,"151,458","13,300","9,017","8,182","9,127","13,729","26,894","17,500","19,235","8,778","7,026","10,698","5,891","2,081",2015
Percent,"151,458",8.80%,6.00%,5.40%,6.00%,9.10%,17.80%,11.60%,12.70%,5.80%,4.60%,7.10%,3.90%,1.40%,2015
"Fairfield city, California",,,,,,,,,,,,,,,2015
Estimate,"112,972","7,472","9,309","8,077","7,885","7,771","16,630","14,088","15,973","7,130","6,018","7,540","3,817","1,262",2015
Percent,"112,972",6.60%,8.20%,7.10%,7.00%,6.90%,14.70%,12.50%,14.10%,6.30%,5.30%,6.70%,3.40%,1.10%,2015
"Florence-Graham CDP, California",,,,,,,,,,,,,,,2015
Estimate,"66,359","4,362","6,212","5,982","5,895","5,235","10,829","9,531","8,669","2,570","2,773","2,700","1,084",517,2015
Percent,"66,359",6.60%,9.40%,9.00%,8.90%,7.90%,16.30%,14.40%,13.10%,3.90%,4.20%,4.10%,1.60%,0.80%,2015
"Folsom city, California",,,,,,,,,,,,,,,2015
Estimate,"76,368","3,933","5,107","5,134","4,963","2,817","9,334","12,848","13,748","5,382","4,703","5,752","1,733",914,2015
Percent,"76,368",5.20%,6.70%,6.70%,6.50%,3.70%,12.20%,16.80%,18.00%,7.00%,6.20%,7.50%,2.30%,1.20%,2015
"Fontana city, California",,,,,,,,,,,,,,,2015
Estimate,"207,472","16,501","18,962","18,196","18,190","16,398","32,615","30,715","28,067","9,608","6,557","6,977","3,587","1,099",2015
Percent,"207,472",8.00%,9.10%,8.80%,8.80%,7.90%,15.70%,14.80%,13.50%,4.60%,3.20%,3.40%,1.70%,0.50%,2015
"Fremont city, California",,,,,,,,,,,,,,,2015
Estimate,"232,191","13,890","15,270","13,129","14,386","12,452","34,638","39,224","33,647","17,147","12,010","13,294","9,528","3,576",2015
Percent,"232,191",6.00%,6.60%,5.70%,6.20%,5.40%,14.90%,16.90%,14.50%,7.40%,5.20%,5.70%,4.10%,1.50%,2015
"Fresno city, California",,,,,,,,,,,,,,,2015
Estimate,"520,072","47,843","42,004","39,090","38,711","44,890","85,813","59,923","60,026","28,651","20,624","30,709","13,622","8,166",2015
Percent,"520,072",9.20%,8.10%,7.50%,7.40%,8.60%,16.50%,11.50%,11.50%,5.50%,4.00%,5.90%,2.60%,1.60%,2015
"Fullerton city, California",,,,,,,,,,,,,,,2015
Estimate,"140,849","7,973","8,753","8,093","10,682","13,800","22,047","17,096","19,067","9,886","5,643","8,695","5,569","3,545",2015
Percent,"140,849",5.70%,6.20%,5.70%,7.60%,9.80%,15.70%,12.10%,13.50%,7.00%,4.00%,6.20%,4.00%,2.50%,2015
"Garden Grove city, California",,,,,,,,,,,,,,,2015
Estimate,"175,384","9,305","10,392","11,168","12,487","12,737","24,948","23,480","25,460","11,993","9,455","14,411","6,778","2,770",2015
Percent,"175,384",5.30%,5.90%,6.40%,7.10%,7.30%,14.20%,13.40%,14.50%,6.80%,5.40%,8.20%,3.90%,1.60%,2015
"Glendale city, California",,,,,,,,,,,,,,,2015
Estimate,"201,025","9,845","9,414","8,106","8,290","12,339","32,182","27,177","28,116","17,137","15,072","16,964","11,434","4,949",2015
Percent,"201,025",4.90%,4.70%,4.00%,4.10%,6.10%,16.00%,13.50%,14.00%,8.50%,7.50%,8.40%,5.70%,2.50%,2015
"Hawthorne city, California",,,,,,,,,,,,,,,2015
Estimate,"88,444","6,757","6,917","5,671","5,053","6,632","15,861","13,153","11,680","5,442","3,447","4,566","2,653",612,2015
Percent,"88,444",7.60%,7.80%,6.40%,5.70%,7.50%,17.90%,14.90%,13.20%,6.20%,3.90%,5.20%,3.00%,0.70%,2015
"Hayward city, California",,,,,,,,,,,,,,,2015
Estimate,"158,300","11,598","9,878","9,487","8,033","12,392","29,573","22,379","19,615","10,676","7,085","9,481","5,643","2,460",2015
Percent,"158,300",7.30%,6.20%,6.00%,5.10%,7.80%,18.70%,14.10%,12.40%,6.70%,4.50%,6.00%,3.60%,1.60%,2015
"Hemet city, California",,,,,,,,,,,,,,,2015
Estimate,"83,873","6,829","5,704","7,203","6,257","5,637","8,549","9,345","8,696","3,747","4,956","7,896","6,214","2,840",2015
Percent,"83,873",8.10%,6.80%,8.60%,7.50%,6.70%,10.20%,11.10%,10.40%,4.50%,5.90%,9.40%,7.40%,3.40%,2015
"Hesperia city, California",,,,,,,,,,,,,,,2015
Estimate,"93,286","8,017","7,570","9,166","6,989","8,068","13,062","10,308","11,391","4,929","4,517","5,825","2,755",689,2015
Percent,"93,286",8.60%,8.10%,9.80%,7.50%,8.60%,14.00%,11.00%,12.20%,5.30%,4.80%,6.20%,3.00%,0.70%,2015
"Huntington Beach city, California",,,,,,,,,,,,,,,2015
Estimate,"201,927","10,639","11,714","12,261","9,855","9,708","28,465","27,466","31,031","14,786","12,553","20,360","9,589","3,500",2015
Percent,"201,927",5.30%,5.80%,6.10%,4.90%,4.80%,14.10%,13.60%,15.40%,7.30%,6.20%,10.10%,4.70%,1.70%,2015
"Indio city, California",,,,,,,,,,,,,,,2015
Estimate,"87,526","4,764","6,259","8,116","6,810","5,440","11,253","13,264","9,591","4,515","3,938","7,965","4,096","1,515",2015
Percent,"87,526",5.40%,7.20%,9.30%,7.80%,6.20%,12.90%,15.20%,11.00%,5.20%,4.50%,9.10%,4.70%,1.70%,2015
"Inglewood city, California",,,,,,,,,,,,,,,2015
Estimate,"111,656","6,569","9,962","6,330","7,574","7,915","17,728","15,398","14,372","5,803","6,403","8,609","3,531","1,462",2015
Percent,"111,656",5.90%,8.90%,5.70%,6.80%,7.10%,15.90%,13.80%,12.90%,5.20%,5.70%,7.70%,3.20%,1.30%,2015
"Irvine city, California",,,,,,,,,,,,,,,2015
Estimate,"256,927","13,294","16,177","13,186","21,879","24,714","40,826","36,001","38,594","14,293","12,238","15,274","7,736","2,715",2015
Percent,"256,927",5.20%,6.30%,5.10%,8.50%,9.60%,15.90%,14.00%,15.00%,5.60%,4.80%,5.90%,3.00%,1.10%,2015
"Jurupa Valley city, California",,,,,,,,,,,,,,,2015
Estimate,"100,314","7,118","6,814","6,739","8,062","9,803","13,328","11,305","14,065","6,160","5,972","6,809","2,866","1,273",2015
Percent,"100,314",7.10%,6.80%,6.70%,8.00%,9.80%,13.30%,11.30%,14.00%,6.10%,6.00%,6.80%,2.90%,1.30%,2015
"Laguna Niguel city, California",,,,,,,,,,,,,,,2015
Estimate,"65,812","3,729","3,255","3,702","3,782","3,190","7,046","7,063","10,993","6,521","5,312","6,462","3,708","1,049",2015
Percent,"65,812",5.70%,4.90%,5.60%,5.70%,4.80%,10.70%,10.70%,16.70%,9.90%,8.10%,9.80%,5.60%,1.60%,2015
"Lake Forest city, California",,,,,,,,,,,,,,,2015
Estimate,"82,497","5,312","5,175","4,583","4,573","4,429","11,977","11,134","13,916","5,935","4,544","6,703","3,223",993,2015
Percent,"82,497",6.40%,6.30%,5.60%,5.50%,5.40%,14.50%,13.50%,16.90%,7.20%,5.50%,8.10%,3.90%,1.20%,2015
"Lakewood city, California",,,,,,,,,,,,,,,2015
Estimate,"81,592","5,073","4,421","5,032","5,617","4,697","9,492","13,193","13,614","5,626","4,052","6,548","3,087","1,140",2015
Percent,"81,592",6.20%,5.40%,6.20%,6.90%,5.80%,11.60%,16.20%,16.70%,6.90%,5.00%,8.00%,3.80%,1.40%,2015
"Lancaster city, California",,,,,,,,,,,,,,,2015
Estimate,"161,113","11,871","12,234","13,730","12,668","11,475","27,162","20,078","20,217","9,690","7,332","10,033","3,452","1,171",2015
Percent,"161,113",7.40%,7.60%,8.50%,7.90%,7.10%,16.90%,12.50%,12.50%,6.00%,4.60%,6.20%,2.10%,0.70%,2015
"Livermore city, California",,,,,,,,,,,,,,,2015
Estimate,"88,117","6,237","5,938","7,203","4,091","4,908","13,057","11,576","12,667","7,042","5,580","6,002","2,716","1,100",2015
Percent,"88,117",7.10%,6.70%,8.20%,4.60%,5.60%,14.80%,13.10%,14.40%,8.00%,6.30%,6.80%,3.10%,1.20%,2015
"Long Beach city, California",,,,,,,,,,,,,,,2015
Estimate,"474,172","33,036","30,037","28,078","31,633","35,324","82,214","62,875","65,856","28,867","23,093","32,532","13,829","6,798",2015
Percent,"474,172",7.00%,6.30%,5.90%,6.70%,7.40%,17.30%,13.30%,13.90%,6.10%,4.90%,6.90%,2.90%,1.40%,2015
"Los Angeles city, California",,,,,,,,,,,,,,,2015
Estimate,"3,971,896","255,499","226,506","228,671","252,408","320,897","704,854","568,885","528,054","228,331","199,731","255,534","139,391","63,135",2015
Percent,"3,971,896",6.40%,5.70%,5.80%,6.40%,8.10%,17.70%,14.30%,13.30%,5.70%,5.00%,6.40%,3.50%,1.60%,2015
"Lynwood city, California",,,,,,,,,,,,,,,2015
Estimate,"72,005","5,890","5,433","6,079","5,350","6,822","13,177","9,306","8,695","3,471","2,199","3,653","1,795",135,2015
Percent,"72,005",8.20%,7.50%,8.40%,7.40%,9.50%,18.30%,12.90%,12.10%,4.80%,3.10%,5.10%,2.50%,0.20%,2015
"Manteca city, California",,,,,,,,,,,,,,,2015
Estimate,"75,450","5,542","5,556","6,029","5,454","5,049","9,887","10,336","11,429","4,905","3,045","3,772","3,041","1,405",2015
Percent,"75,450",7.30%,7.40%,8.00%,7.20%,6.70%,13.10%,13.70%,15.10%,6.50%,4.00%,5.00%,4.00%,1.90%,2015
"Menifee city, California",,,,,,,,,,,,,,,2015
Estimate,"87,163","6,589","7,037","6,112","6,244","4,506","10,571","10,338","10,270","6,100","4,873","7,552","5,587","1,384",2015
Percent,"87,163",7.60%,8.10%,7.00%,7.20%,5.20%,12.10%,11.90%,11.80%,7.00%,5.60%,8.70%,6.40%,1.60%,2015
"Merced city, California",,,,,,,,,,,,,,,2015
Estimate,"82,440","7,608","8,540","6,079","5,445","8,275","12,291","9,214","9,338","3,322","3,396","5,748","2,242",942,2015
Percent,"82,440",9.20%,10.40%,7.40%,6.60%,10.00%,14.90%,11.20%,11.30%,4.00%,4.10%,7.00%,2.70%,1.10%,2015
"Milpitas city, California",,,,,,,,,,,,,,,2015
Estimate,"77,617","5,705","4,789","4,431","3,871","5,116","11,727","12,829","11,810","4,638","2,821","5,283","3,025","1,572",2015
Percent,"77,617",7.40%,6.20%,5.70%,5.00%,6.60%,15.10%,16.50%,15.20%,6.00%,3.60%,6.80%,3.90%,2.00%,2015
"Mission Viejo city, California",,,,,,,,,,,,,,,2015
Estimate,"97,163","4,210","4,907","5,506","5,523","7,251","10,606","10,643","17,718","7,260","5,164","10,811","5,161","2,403",2015
Percent,"97,163",4.30%,5.10%,5.70%,5.70%,7.50%,10.90%,11.00%,18.20%,7.50%,5.30%,11.10%,5.30%,2.50%,2015
"Modesto city, California",,,,,,,,,,,,,,,2015
Estimate,"211,257","14,694","15,286","15,042","14,972","16,960","28,113","25,726","26,190","13,895","11,978","16,397","7,686","4,318",2015
Percent,"211,257",7.00%,7.20%,7.10%,7.10%,8.00%,13.30%,12.20%,12.40%,6.60%,5.70%,7.80%,3.60%,2.00%,2015
"Moreno Valley city, California",,,,,,,,,,,,,,,2015
Estimate,"204,181","14,956","15,124","15,469","18,872","18,789","30,999","27,882","25,315","11,648","7,963","11,027","4,990","1,147",2015
Percent,"204,181",7.30%,7.40%,7.60%,9.20%,9.20%,15.20%,13.70%,12.40%,5.70%,3.90%,5.40%,2.40%,0.60%,2015
"Mountain View city, California",,,,,,,,,,,,,,,2015
Estimate,"80,438","6,134","5,054","4,307","3,498","5,485","18,454","12,488","10,343","4,671","3,266","4,207","1,805",726,2015
Percent,"80,438",7.60%,6.30%,5.40%,4.30%,6.80%,22.90%,15.50%,12.90%,5.80%,4.10%,5.20%,2.20%,0.90%,2015
"Murrieta city, California",,,,,,,,,,,,,,,2015
Estimate,"109,816","6,668","6,403","9,921","10,132","8,823","12,592","13,565","17,606","6,473","4,863","6,892","4,488","1,390",2015
Percent,"109,816",6.10%,5.80%,9.00%,9.20%,8.00%,11.50%,12.40%,16.00%,5.90%,4.40%,6.30%,4.10%,1.30%,2015
"Napa city, California",,,,,,,,,,,,,,,2015
Estimate,"80,429","5,259","5,246","5,766","4,551","5,276","10,439","11,634","10,415","5,809","4,392","6,218","3,319","2,105",2015
Percent,"80,429",6.50%,6.50%,7.20%,5.70%,6.60%,13.00%,14.50%,12.90%,7.20%,5.50%,7.70%,4.10%,2.60%,2015
"Newport Beach city, California",,,,,,,,,,,,,,,2015
Estimate,"87,131","2,663","3,915","5,205","5,208","4,473","9,986","8,949","14,728","6,649","5,309","11,272","5,858","2,916",2015
Percent,"87,131",3.10%,4.50%,6.00%,6.00%,5.10%,11.50%,10.30%,16.90%,7.60%,6.10%,12.90%,6.70%,3.30%,2015
"Norwalk city, California",,,,,,,,,,,,,,,2015
Estimate,"107,145","7,656","6,972","7,083","6,377","10,062","15,357","14,601","14,283","8,076","6,060","6,207","3,037","1,374",2015
Percent,"107,145",7.10%,6.50%,6.60%,6.00%,9.40%,14.30%,13.60%,13.30%,7.50%,5.70%,5.80%,2.80%,1.30%,2015
"Oakland city, California",,,,,,,,,,,,,,,2015
Estimate,"419,278","25,663","24,044","22,552","22,030","26,615","82,381","65,678","54,832","24,593","21,760","30,274","11,947","6,909",2015
Percent,"419,278",6.10%,5.70%,5.40%,5.30%,6.30%,19.60%,15.70%,13.10%,5.90%,5.20%,7.20%,2.80%,1.60%,2015
"Oceanside city, California",,,,,,,,,,,,,,,2015
Estimate,"175,714","9,659","9,754","9,697","13,050","11,101","24,803","23,223","22,073","11,854","13,400","14,543","8,383","4,174",2015
Percent,"175,714",5.50%,5.60%,5.50%,7.40%,6.30%,14.10%,13.20%,12.60%,6.70%,7.60%,8.30%,4.80%,2.40%,2015
"Ontario city, California",,,,,,,,,,,,,,,2015
Estimate,"171,200","12,440","14,961","13,861","13,413","13,928","26,223","26,986","21,083","8,120","7,478","8,200","2,837","1,670",2015
Percent,"171,200",7.30%,8.70%,8.10%,7.80%,8.10%,15.30%,15.80%,12.30%,4.70%,4.40%,4.80%,1.70%,1.00%,2015
"Orange city, California",,,,,,,,,,,,,,,2015
Estimate,"140,995","9,649","7,231","7,548","9,901","12,906","23,298","17,098","19,568","9,241","7,591","9,754","4,488","2,722",2015
Percent,"140,995",6.80%,5.10%,5.40%,7.00%,9.20%,16.50%,12.10%,13.90%,6.60%,5.40%,6.90%,3.20%,1.90%,2015
"Oxnard city, California",,,,,,,,,,,,,,,2015
Estimate,"207,252","16,096","17,726","15,983","15,737","17,024","33,464","27,072","26,441","10,882","7,306","11,531","5,950","2,040",2015
Percent,"207,252",7.80%,8.60%,7.70%,7.60%,8.20%,16.10%,13.10%,12.80%,5.30%,3.50%,5.60%,2.90%,1.00%,2015
"Palmdale city, California",,,,,,,,,,,,,,,2015
Estimate,"158,350","13,766","13,167","11,968","12,695","11,080","20,474","18,774","21,555","11,244","8,493","8,538","5,075","1,521",2015
Percent,"158,350",8.70%,8.30%,7.60%,8.00%,7.00%,12.90%,11.90%,13.60%,7.10%,5.40%,5.40%,3.20%,1.00%,2015
"Palo Alto city, California",,,,,,,,,,,,,,,2015
Estimate,"66,848","3,714","3,735","5,163","4,655","2,711","7,209","11,168","9,799","3,394","3,506","6,577","2,743","2,474",2015
Percent,"66,848",5.60%,5.60%,7.70%,7.00%,4.10%,10.80%,16.70%,14.70%,5.10%,5.20%,9.80%,4.10%,3.70%,2015
"Pasadena city, California",,,,,,,,,,,,,,,2015
Estimate,"142,246","9,808","7,400","7,572","6,543","8,460","24,221","21,943","18,451","7,354","8,654","11,838","6,505","3,497",2015
Percent,"142,246",6.90%,5.20%,5.30%,4.60%,5.90%,17.00%,15.40%,13.00%,5.20%,6.10%,8.30%,4.60%,2.50%,2015
"Perris city, California",,,,,,,,,,,,,,,2015
